sector, block, dbn, mpv, mpv_err, ch0_mpv, ch0_mpv_err, ch1_mpv, ch1_mpv_err, ch2_mpv, ch2_mpv_err, ch3_mpv, ch3_mpv_err
2, 91, 639, 291.824654, 11.465165, 288.595290, 4.223370, 335.686543, 30.037972, 286.860692, 6.047847, 256.156090, 5.551470
2, 92, 631, 246.949418, 7.389836, , , , , 257.651274, 9.271578, 236.247562, 5.508095
2, 93, 709, 256.628185, 10.460765, 256.628185, 10.460765, , , , , , 
2, 94, 732, 250.646845, 8.874073, 243.440245, 10.024287, , , 257.853445, 7.723859, , 
2, 95, 718, 327.669955, 12.405527, 306.902964, 8.363293, , , 348.436946, 16.447760, , 
2, 96, 723, 286.463627, 7.447311, , , , , 286.463627, 7.447311, , 
3, 1, 207, 220.830038, 18.335576, , , 220.830038, 18.335576, , , , 
3, 2, 241, , , , , , , , , , 
3, 3, 249, 291.326312, 21.555443, , , 264.331462, 15.731723, , , 318.321162, 27.379164
3, 4, 231, 331.129480, 38.882267, , , , , , , 331.129480, 38.882267
3, 5, 199, 250.511116, 15.950809, 241.236971, 12.571824, 259.785262, 19.329794, , , , 
3, 6, 233, 222.028716, 14.570623, 170.711594, 20.032752, 233.178831, 9.125488, 229.696788, 19.154578, 254.527650, 9.969672
3, 7, 263, 309.461707, 13.502806, 298.549029, 15.693574, 314.110782, 15.244306, 304.770868, 12.389802, 320.416149, 10.683541
3, 8, 266, 223.644268, 14.878865, , , , , 207.974592, 9.809491, 239.313944, 19.948239
3, 9, 265, 248.164705, 8.870386, 231.845162, 8.063538, 264.484248, 9.677235, , , , 
3, 10, 257, 228.043570, 12.018454, 203.820585, 12.292085, 219.525195, 9.619180, 230.645424, 16.666420, 258.183075, 9.496131
3, 11, 1306, 214.289787, 9.095287, 211.529298, 9.708114, 187.739009, 8.089339, 246.633858, 10.570222, 211.256982, 8.013474
3, 12, 256, 247.840465, 9.663639, , , , , 256.105793, 10.900147, 239.575136, 8.427131
3, 13, 1282, 230.112013, 13.824381, 215.879076, 7.812677, 244.344951, 19.836085, , , , 
