DBN, MPV
3224, 281.576497
3381, 267.891678
3365, 328.476659
3238, 320.216851
3261, 289.015670
3245, 240.886056
3241, 492.253652
F154, 498.297610
F102, 564.324271
F67, 469.383719
F66, 523.443683
F139, 473.463865
F108, 472.492227
F107, 551.922163
F32, 453.801299
F79, 489.176546
F76, 513.536739
F56, 317.809597
F27, 524.212155
F127, 477.224873
F131, 516.883022
F91, 449.207493
F62, 493.354625
F182, 467.461168
F115, 475.541541
F114, 444.847418
F98, 537.816383
F192, 560.180314
F191, 424.046738
F121, 349.396632
2180, 287.550658
2179, 278.506298
2117, 267.396390
2110, 298.219346
2196, 295.492333
2186, 298.521347
2185, 265.914647
2183, 340.883674
2342, 313.949794
2326, 327.604806
2219, 335.345194
2212, 304.018826
4243, 282.399246
4202, 308.068917
4182, 271.452118
4172, 279.485824
2741, 238.240791
2743, 255.274355
2732, 265.559674
2722, 304.938412
2798, 275.391365
2792, 276.963697
2787, 290.012196
2774, 272.728596
2813, 302.920953
2833, 273.430310
2816, 261.557888
2815, 269.526560
2860, 246.201642
2859, 264.124483
2858, 300.359149
2857, 346.839454
3034, 294.081004
2933, 306.242033
2932, 298.146867
2912, 297.084441
3011, 309.642397
2995, 317.317413
2976, 261.595666
2966, 281.045630
3060, 326.610261
3051, 323.887337
3030, 280.524900
3020, 316.955799
3772, 336.657719
3761, 322.131950
3098, 336.845571
3780, 301.576521
3726, 305.060209
3723, 315.766409
3133, 343.797407
3150, 232.602202
3692, 303.326064
3623, 299.007805
3619, 327.666924
3640, 293.331859
3562, 310.425791
3196, 304.411086
3193, 271.464308
3538, 348.098255
3457, 314.152482
3429, 285.216664
3447, 289.396393
3425, 341.136870
3419, 356.300241
3220, 291.569077
3418, 266.659458
3358, 250.941216
3304, 306.511025
3288, 298.818117
3246, 257.839664
3287, 515.790366
F261, 461.473669
F266, 551.995579
F202, 489.058177
F201, 644.479887
F141, 553.452972
F274, 483.531934
F214, 454.300715
F145, 491.358884
F157, 464.773158
F165, 466.365932
F158, 362.862454
F87, 505.108512
F177, 446.597468
F134, 468.105302
F132, 476.137866
F130, 469.743534
F243, 537.905559
F184, 459.692435
F183, 520.242787
F181, 462.850583
F199, 524.885882
F197, 392.858604
F123, 441.126477
2109, 300.750861
2111, 351.971481
2126, 343.195786
2142, 324.909472
2169, 273.160892
2171, 309.767288
2193, 385.303677
2213, 502.380251
2201, 301.145911
2695, 309.267780
4177, 311.214380
4209, 330.767750
4302, 402.730671
2711, 352.725992
4131, 351.889114
4143, 365.024180
4150, 335.906460
2800, 355.240336
4088, 327.330980
4093, 400.311336
4096, 363.798431
2839, 328.671174
2849, 362.122770
2871, 381.922440
2877, 458.309507
2874, 353.067040
2884, 367.574670
2888, 348.129121
3982, 376.889747
2921, 415.288422
2941, 366.499544
2961, 404.851113
3911, 417.267692
3007, 372.277006
2992, 363.798315
3871, 380.374274
3858, 387.155868
3045, 370.142164
3038, 389.771114
3816, 354.220297
3837, 410.997416
3097, 341.127024
3788, 300.618654
3789, 420.429397
3786, 382.638183
3146, 481.203786
3159, 388.096496
3696, 471.214522
3166, 441.361052
