channel_num, sp_gap, chisqr/ndf, gauss1 mean, gauss1 ampl, gauss1 sigma, gauss2 ampl, gauss2 sigma, gauss3 ampl, gauss3 sigma, gauss4 ampl, gauss4 sigma, gauss5 ampl, gauss5 sigma, landau ampl, landau mpv, landau sigma
35, 28.902554, 54.234101, 32.767489, 10228.056679, 5.276373, 2639.749733, 7.037029, 170.402309, 8.161071, 170.402309, 8.161071, 0.000000, 0.000000, 134247.136155, 7.588014, 2.625588
36, 25.635884, 23.459826, 30.738166, 12531.224567, 6.581754, 4647.278595, 6.886845, 364.417859, 8.412324, 364.417859, 8.412324, 0.000000, 0.000000, 85884.294001, 7.752026, 2.799542
37, 26.198842, 17.439446, 31.507384, 12109.313154, 6.677366, 4513.613952, 7.252512, 369.914494, 8.782760, 369.914494, 8.782760, 0.000000, 0.000000, 82524.188440, 8.070363, 2.923447
38, 25.996142, 25.969986, 31.258865, 12403.074550, 6.209101, 4078.069469, 6.959828, 293.282538, 8.265734, 293.282538, 8.265734, 0.000000, 0.000000, 94548.058815, 7.877066, 2.831006
39, 25.933025, 21.168809, 31.389177, 12303.983526, 7.017059, 4904.250468, 7.281826, 443.231686, 8.867661, 443.231686, 8.867661, 0.000000, 0.000000, 70221.956145, 8.290699, 3.047462
40, 27.081017, 41.594105, 31.539470, 10931.733201, 5.482712, 3191.459403, 6.897702, 195.201732, 7.908652, 195.201732, 7.908652, 0.000000, 0.000000, 129387.329058, 7.338966, 2.568501
41, 27.680340, 58.546440, 32.064252, 10169.858214, 5.017749, 2491.862480, 6.662736, 140.471882, 6.808329, 140.471882, 6.808329, 0.000000, 0.000000, 143478.468109, 7.485608, 2.588075
42, 27.196468, 32.465563, 32.831036, 11401.955636, 5.724228, 3165.608792, 7.259083, 193.762198, 8.594171, 193.762198, 8.594171, 0.000000, 0.000000, 113702.480600, 7.884842, 2.793830
43, 27.949483, 52.368068, 31.903521, 10371.994641, 5.185609, 2563.864015, 6.742751, 126.304019, 7.955592, 126.304019, 7.955592, 0.000000, 0.000000, 140131.462274, 7.493397, 2.595687
44, 27.903980, 74.816417, 32.389720, 9029.559811, 4.837100, 2067.846407, 6.305212, 103.179600, 3.519678, 103.179600, 3.519678, 0.000000, 0.000000, 157174.939454, 7.585357, 2.590221
45, 27.379100, 61.197963, 32.738893, 9912.516707, 5.170203, 2469.556908, 6.669813, 117.961601, 8.289674, 117.961601, 8.289674, 0.000000, 0.000000, 144205.685473, 7.495251, 2.587957
46, 27.535527, 45.630306, 31.737543, 10187.225581, 5.169634, 2467.859583, 6.697925, 96.223785, 6.853682, 96.223785, 6.853682, 0.000000, 0.000000, 137516.764691, 7.778981, 2.733598
47, 28.356104, 92.807520, 32.473744, 8344.464375, 4.679266, 1769.911571, 5.972074, 84.441516, 3.553350, 84.441516, 3.553350, 0.000000, 0.000000, 167060.341981, 7.519771, 2.547126
48, 28.560766, 60.956931, 33.038701, 10009.416407, 5.188878, 2459.576016, 6.860248, 139.394172, 8.423151, 139.394172, 8.423151, 0.000000, 0.000000, 139638.912454, 7.625665, 2.609514
49, 27.150716, 58.142684, 32.312166, 10073.467751, 5.238785, 2684.176098, 6.497112, 154.182798, 8.080896, 154.182798, 8.080896, 0.000000, 0.000000, 137807.610623, 7.487454, 2.598753
50, 28.827164, 47.677862, 32.836539, 10440.821594, 5.431059, 2771.815016, 7.329052, 188.376293, 8.362951, 188.376293, 8.362951, 0.000000, 0.000000, 126404.008584, 7.697547, 2.687627
51, 28.459142, 52.256044, 32.683015, 10159.548421, 5.340460, 2659.472735, 7.129829, 177.095013, 8.346102, 177.095013, 8.346102, 0.000000, 0.000000, 132364.038869, 7.568986, 2.639987
52, 28.510842, 65.710572, 34.046434, 10120.649289, 5.180237, 2447.817780, 6.873623, 135.498857, 7.917153, 135.498857, 7.917153, 0.000000, 0.000000, 136312.448201, 7.840539, 2.678507
